sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,r_charge_degree,vr_charge_degree,is_recid
1.0,31,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,34,0.0,0,0,0,0,1.0,0.0,0.0,2.0,1
1.0,24,0.0,0,0,1,4,1.0,0.0,1.0,8.0,1
1.0,23,0.0,0,1,0,1,1.0,0.0,2.0,8.0,0
1.0,41,1.0,0,0,0,14,1.0,0.0,0.0,8.0,1
0.0,39,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,20,1.0,0,0,1,0,1.0,0.0,2.0,8.0,0
0.0,26,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,21,1.0,0,0,0,1,308.0,0.0,1.0,1.0,1
1.0,27,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,23,0.0,0,0,0,3,0.0,1.0,1.0,8.0,1
0.0,37,1.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,22,1.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,41,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,47,1.0,0,0,0,1,490.0,0.0,0.0,8.0,1
1.0,31,0.0,0,0,0,7,71.0,0.0,1.0,8.0,1
1.0,25,0.0,0,0,0,3,1.0,0.0,2.0,8.0,0
1.0,31,1.0,0,0,0,6,1.0,0.0,0.0,0.0,1
1.0,31,1.0,0,0,0,5,1.0,0.0,0.0,8.0,1
1.0,64,0.0,0,0,0,13,1.0,0.0,0.0,8.0,1
1.0,21,0.0,0,0,0,1,1.0,0.0,1.0,8.0,1
1.0,27,1.0,0,0,0,0,0.0,1.0,1.0,8.0,1
0.0,21,1.0,0,0,0,0,2.0,0.0,2.0,8.0,0
1.0,24,0.0,0,0,0,2,0.0,0.0,1.0,8.0,1
1.0,42,1.0,0,0,0,1,133.0,0.0,2.0,8.0,0
1.0,43,1.0,0,0,0,1,1.0,1.0,2.0,8.0,0
0.0,54,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,44,0.0,0,0,0,8,4296.0,1.0,2.0,8.0,0
0.0,49,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,27,0.0,0,0,0,8,1.0,0.0,1.0,2.0,1
0.0,36,1.0,0,0,0,3,95.0,0.0,2.0,8.0,0
1.0,26,0.0,0,0,1,5,1.0,0.0,1.0,8.0,1
1.0,33,0.0,0,0,0,0,1.0,0.0,0.0,5.0,1
1.0,30,1.0,0,0,0,9,0.0,0.0,0.0,8.0,1
1.0,32,0.0,0,0,0,4,1.0,0.0,1.0,8.0,1
1.0,63,0.0,0,0,0,0,1.0,1.0,2.0,8.0,0
1.0,55,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,29,1.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,32,0.0,0,0,0,15,0.0,0.0,2.0,8.0,0
1.0,38,0.0,0,0,2,5,1.0,0.0,2.0,8.0,0
1.0,53,1.0,0,0,0,19,1.0,0.0,2.0,8.0,0
1.0,26,1.0,0,0,2,6,382.0,1.0,2.0,8.0,0
0.0,33,1.0,0,0,0,4,1.0,1.0,0.0,8.0,1
1.0,24,1.0,0,0,0,1,0.0,1.0,0.0,8.0,1
1.0,34,0.0,2,1,3,21,0.0,0.0,1.0,8.0,1
1.0,29,1.0,0,0,0,0,1.0,1.0,2.0,8.0,0
0.0,21,0.0,0,0,0,2,1.0,0.0,2.0,8.0,0
1.0,51,0.0,0,0,0,2,1.0,1.0,2.0,8.0,0
1.0,36,0.0,0,0,0,0,-1.0,2.0,2.0,8.0,-1
1.0,29,1.0,0,0,0,2,1.0,1.0,1.0,8.0,1
1.0,25,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
0.0,51,0.0,0,0,0,7,1.0,0.0,2.0,8.0,0
1.0,28,1.0,0,0,0,8,0.0,0.0,2.0,8.0,0
1.0,36,0.0,0,0,0,22,1.0,1.0,2.0,8.0,0
1.0,29,0.0,0,0,0,0,0.0,0.0,1.0,8.0,1
1.0,25,1.0,0,0,0,9,1.0,1.0,0.0,1.0,1
1.0,35,0.0,1,0,4,13,1.0,0.0,1.0,7.0,1
1.0,49,1.0,0,0,0,0,0.0,1.0,2.0,8.0,0
1.0,34,0.0,0,0,0,4,59.0,1.0,1.0,8.0,1
1.0,29,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,29,1.0,0,0,0,1,24.0,0.0,1.0,8.0,1
1.0,51,1.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,25,1.0,0,0,0,0,0.0,0.0,2.0,8.0,0
1.0,48,1.0,0,0,0,20,562.0,0.0,1.0,8.0,1
1.0,33,1.0,0,0,0,1,0.0,0.0,2.0,8.0,0
1.0,30,0.0,0,0,1,3,1.0,0.0,2.0,8.0,0
1.0,31,0.0,0,0,1,15,1.0,0.0,1.0,8.0,1
1.0,24,0.0,0,0,0,2,1.0,0.0,1.0,8.0,1
1.0,27,0.0,0,0,0,0,1.0,0.0,2.0,8.0,0
1.0,32,1.0,0,0,0,3,1.0,0.0,2.0,8.0,0
1.0,49,0.0,0,0,0,4,1.0,1.0,2.0,8.0,0
1.0,53,1.0,0,0,0,8,13.0,0.0,2.0,8.0,0
1.0,35,0.0,0,0,0,5,1.0,0.0,2.0,8.0,0
